title,category,url,episodes,aired,ended
Dalam-iwa Goseumdochi,series,https://anidb.net/anime/11545,TBC,??.??.1977,-
Gogulyeoui Jeolm-eun Musadeul,series,https://anidb.net/anime/11663,TBC,??.??.2012,-
Heungbujeon,movie,https://anidb.net/anime/13264,1,??.??.2008,??.??.2008
Wanghu Sim Cheong,movie,https://anidb.net/anime/8047,1,12.08.2005,12.08.2005
