title,category,url,episodes,aired,ended
Robot Taekwon V Jae2tan: Wooju-jakjeon,movie,https://anidb.net/anime/10247,1,13.12.1976,13.12.1976
Mask Masters,series,https://anidb.net/anime/12202,26,20.04.2013,19.10.2013
Giga Tribe (2008),movie,https://anidb.net/anime/9613,1,12.09.2008,12.09.2008
"Mianhada, Saranghanda",special,https://anidb.net/anime/8472,1,02.06.2008,02.06.2008
Super Taekwon V,movie,https://anidb.net/anime/10251,1,30.07.1982,30.07.1982
Gonglyong Mecard,series,https://anidb.net/anime/13827,52,23.11.2017,27.12.2018
Robot Taekwon V Jae3tan! - Sujuung Teukgongdae,movie,https://anidb.net/anime/10248,1,20.07.1977,20.07.1977
Super Teukgeup Mazinger 7,movie,https://anidb.net/anime/5945,1,30.07.1983,30.07.1983
Robot Taekwon V wa Hwanggeum Nalgae ue Daegyul,movie,https://anidb.net/anime/10249,1,26.07.1978,26.07.1978
Greek Roman Sinhwa Olympus Guardian,series,https://anidb.net/anime/7941,39,30.04.2002,11.12.2002
Michel,series,https://anidb.net/anime/5511,26,06.06.2003,11.12.2003
Micro Teukgongdae Diatron 5,movie,https://anidb.net/anime/11205,1,20.07.1985,20.07.1985
Tai Chi Chasers,series,https://anidb.net/anime/9320,39,29.04.2007,20.01.2008
Murim Ilgeomui Sasaenghwal,movie,https://anidb.net/anime/9140,1,??.??.2007,??.??.2007
Roboteugundangwa Meka3,movie,https://anidb.net/anime/9649,1,19.10.1985,19.10.1985
Haedori Daemoheom,movie,https://anidb.net/anime/9594,1,??.??.1982,??.??.1982
Naengjanggo Nara Cocomong,series,https://anidb.net/anime/13747,26,27.02.2008,20.08.2008
Robotex,series,https://anidb.net/anime/13386,26,21.08.2015,17.03.2016
Haejeotamheomdae Marin X,movie,https://anidb.net/anime/9647,1,19.02.1983,19.02.1983
Teugbyeolpan Turning Mecard W: Vandyne-ui Bimil,movie,https://anidb.net/anime/13824,1,08.02.2018,08.02.2018
Hate You,none,https://anidb.net/anime/8768,1,21.07.2011,21.07.2011
There She Is!!,none,https://anidb.net/anime/8043,5,20.04.2003,13.12.2008
Romangeun Eobsda,movie,https://anidb.net/anime/8209,1,10.12.2009,10.12.2009
Narara Superboard,series,https://anidb.net/anime/10799,28,21.08.1990,19.03.1993
Saibi,movie,https://anidb.net/anime/10220,1,07.09.2013,07.09.2013
Timing,movie,https://anidb.net/anime/15195,1,03.10.2014,03.10.2014
Narara Superboard (1998),series,https://anidb.net/anime/10873,13,03.07.1998,25.09.1998
Hayan ma-eum Baekgu,series,https://anidb.net/anime/8438,13,06.10.2000,12.01.2001
Samchongsa: Time Machine 001,movie,https://anidb.net/anime/5320,1,??.??.1980,??.??.1980
Narara Superboard (2001),series,https://anidb.net/anime/10874,13,19.10.2001,11.01.2002
Semi wa Magic Cube,series,https://anidb.net/anime/14244,26,01.08.2018,07.02.2019
Narara Wondergongju,movie,https://anidb.net/anime/9609,1,26.07.1979,26.07.1979
Heonggeuri Beseuteu 5,movie,https://anidb.net/anime/9638,1,23.12.1995,23.12.1995
Semi wa Magic Cube (2020),series,https://anidb.net/anime/16253,26,30.03.2020,26.05.2020
Tteodori Kkachi,special,https://anidb.net/anime/8250,1,05.05.1987,05.05.1987
Seoulyeok,movie,https://anidb.net/anime/12732,1,18.08.2016,18.08.2016
Ttokttokbaksa Eddy,series,https://anidb.net/anime/12955,13,01.12.2010,-
Heungbuwa Nolbu,movie,https://anidb.net/anime/13112,1,??.??.1967,??.??.1967
Ttori wa Zeta Robot,movie,https://anidb.net/anime/9597,1,17.01.1985,17.01.1985
Seupideuwang Beongae,series,https://anidb.net/anime/12902,26,18.05.1998,18.08.1998
Shin Agigongryong Dooly,series,https://anidb.net/anime/9713,26,25.12.2008,02.07.2009
Heungnyongwanggwa Bihodongja,movie,https://anidb.net/anime/9630,1,21.12.1982,21.12.1982
Turning Mecard,series,https://anidb.net/anime/13804,52,03.02.2015,05.02.2016
Shin Angyou Onshi,movie,https://anidb.net/anime/2190,1,04.12.2004,04.12.2004
Turning Mecard R,series,https://anidb.net/anime/13828,26,14.09.2017,05.04.2018
Sojunghan Nal-ui Kkum,movie,https://anidb.net/anime/8425,1,16.06.2011,16.06.2011
Turning Mecard W,series,https://anidb.net/anime/13821,26,19.05.2016,17.11.2016
