,title,category,url,episodes,aired,ended
65,Izakaya no Ichiya,movie,https://anidb.net/anime/6737,1,1936-06-06,1936-06-06
66,Hanasaka Jijii,movie,https://anidb.net/anime/5385,1,1917-08-26,1917-08-26
67,Chongire Hebi,movie,https://anidb.net/anime/6934,1,1930-12-22,1930-12-22
68,Denshin Denrei Denwa,movie,https://anidb.net/anime/12878,1,??.??.1931,??.??.1931
69,Manga Tonpei to Sarukichi,movie,https://anidb.net/anime/12858,1,1932-01-06,1932-01-06
70,Tsuki no Miya no Oujo-sama,movie,https://anidb.net/anime/6853,1,1934-10-25,1934-10-25
71,Maabou no Tairiku Senbutai Zenpen: Circus no Maki,movie,https://anidb.net/anime/6904,1,1942-03-19,1942-03-19
72,Kachikachi Yama no Shouboutai,movie,https://anidb.net/anime/6885,1,1948-01-02,1948-01-02
73,Chokin no Susume,movie,https://anidb.net/anime/6917,1,1917-07-10,1917-07-10
74,Kokka o Suku e,movie,https://anidb.net/anime/7169,1,??.??.1925,??.??.1925
75,Shinsetsu Kachikachi Yama,movie,https://anidb.net/anime/6944,1,??.11.1936,??.11.1936
76,Ahiru no Ko,movie,https://anidb.net/anime/12881,1,??.09.1932,??.09.1932
77,Masakari Katsuide,movie,https://anidb.net/anime/6887,1,??.04.1948,??.04.1948
78,Manga Misemono Kenbutsu,movie,https://anidb.net/anime/12865,1,??.??.1931,??.??.1931
79,Shisei Sasshin,movie,https://anidb.net/anime/7172,1,??.??.1925,??.??.1925
80,Ninjutsu Hinotama Kozou: Edo no Maki,movie,https://anidb.net/anime/6739,1,1934-09-11,1934-09-11
81,Otogibanashi: Bumbuku Chagama,movie,https://anidb.net/anime/6840,1,1917-10-10,1917-10-10
82,Maabou Kasei o Iku,movie,https://anidb.net/anime/6961,1,??.05.1948,??.05.1948
83,Katsura Hime,movie,https://anidb.net/anime/11183,1,??.??.1937,??.??.1937
84,Kinken Chochiku Shiobara Tasuke,movie,https://anidb.net/anime/7004,1,??.??.1925,??.??.1925
85,Ooatari Sora no Entaku,movie,https://anidb.net/anime/6692,1,1932-10-22,1932-10-22
86,Maabou no Tairiku Senbutai Kouhen: Hizoku Taiji no Maki,movie,https://anidb.net/anime/6905,1,1942-03-26,1942-03-26
87,Urashima Tarou (1931),movie,https://anidb.net/anime/6710,1,??.??.1931,??.??.1931
88,Shikisai Manga no Dekiru Made,movie,https://anidb.net/anime/12872,1,??.??.1937,??.??.1937
89,Chameko no Ichinichi,movie,https://anidb.net/anime/5379,1,??.??.1931,??.??.1931
90,Spy Gekimetsu,movie,https://anidb.net/anime/6822,1,1942-07-16,1942-07-16
91,Tsubo,movie,https://anidb.net/anime/7173,1,??.??.1925,??.??.1925
92,Mori no Yakyuudan,movie,https://anidb.net/anime/6852,1,1934-11-16,1934-11-16
93,Kuma ni Kuwarenu Otoko,movie,https://anidb.net/anime/6731,1,??.09.1948,??.09.1948
94,Shitakiri Suzume,movie,https://anidb.net/anime/6914,1,1917-10-18,1917-10-18
95,Maabou no Shounen Koukuu Tsuwamono,movie,https://anidb.net/anime/6856,1,1937-10-27,1937-10-27
